0x000080		EUR
0x0007e6	ߦ	
0x0007e7	ߧ	
0x0007e8	ߨ	
0x0007e9	ߩ	
0x0007ea	ߪ	
0x0007eb	߫	
0x0007ec	߬	
0x0007ed	߭	
0x0007ee	߮	
0x0007ef	߯	
0x0007f0	߰	
0x0007f1	߱	
0x0007f2	߲	
0x0007f3	߳	
0x0007f4	ߴ	
0x0007f5	ߵ	
0x0007f6	߶	
0x0007f7	߷	
0x0007f8	߸	
0x0007f9	߹	
0x0007fa	ߺ	
0x0007fb	߻	
0x0007fc	߼	
0x0007fd	߽	
0x0007fe	߾	
0x0007ff	߿	
0x000800	ࠀ	[?] 
0x000801	ࠁ	[?] 
0x000802	ࠂ	[?] 
0x000803	ࠃ	[?] 
0x000804	ࠄ	[?] 
0x000805	ࠅ	[?] 
0x000806	ࠆ	[?] 
0x000807	ࠇ	[?] 
0x000808	ࠈ	[?] 
0x000809	ࠉ	[?] 
0x00080a	ࠊ	[?] 
0x00080b	ࠋ	[?] 
0x00080c	ࠌ	[?] 
0x00080d	ࠍ	[?] 
0x00080e	ࠎ	[?] 
0x00080f	ࠏ	[?] 
0x000810	ࠐ	[?] 
0x000811	ࠑ	[?] 
0x000812	ࠒ	[?] 
0x000813	ࠓ	[?] 
0x000814	ࠔ	[?] 
0x000815	ࠕ	[?] 
0x000816	ࠖ	[?] 
0x000817	ࠗ	[?] 
0x000818	࠘	[?] 
0x000819	࠙	[?] 
0x00081a	ࠚ	[?] 
0x00081b	ࠛ	[?] 
0x00081c	ࠜ	[?] 
0x00081d	ࠝ	[?] 
0x00081e	ࠞ	[?] 
0x00081f	ࠟ	[?] 
0x000820	ࠠ	[?] 
0x000821	ࠡ	[?] 
0x000822	ࠢ	[?] 
0x000823	ࠣ	[?] 
0x000824	ࠤ	[?] 
0x000825	ࠥ	[?] 
0x000826	ࠦ	[?] 
0x000827	ࠧ	[?] 
0x000828	ࠨ	[?] 
0x000829	ࠩ	[?] 
0x00082a	ࠪ	[?] 
0x00082b	ࠫ	[?] 
0x00082c	ࠬ	[?] 
0x00082d	࠭	[?] 
0x00082e	࠮	[?] 
0x00082f	࠯	[?] 
0x000830	࠰	[?] 
0x000831	࠱	[?] 
0x000832	࠲	[?] 
0x000833	࠳	[?] 
0x000834	࠴	[?] 
0x000835	࠵	[?] 
0x000836	࠶	[?] 
0x000837	࠷	[?] 
0x000838	࠸	[?] 
0x000839	࠹	[?] 
0x00083a	࠺	[?] 
0x00083b	࠻	[?] 
0x00083c	࠼	[?] 
0x00083d	࠽	[?] 
0x00083e	࠾	[?] 
0x00083f	࠿	[?] 
0x000840	ࡀ	[?] 
0x000841	ࡁ	[?] 
0x000842	ࡂ	[?] 
0x000843	ࡃ	[?] 
0x000844	ࡄ	[?] 
0x000845	ࡅ	[?] 
0x000846	ࡆ	[?] 
0x000847	ࡇ	[?] 
0x000848	ࡈ	[?] 
0x000849	ࡉ	[?] 
0x00084a	ࡊ	[?] 
0x00084b	ࡋ	[?] 
0x00084c	ࡌ	[?] 
0x00084d	ࡍ	[?] 
0x00084e	ࡎ	[?] 
0x00084f	ࡏ	[?] 
0x000850	ࡐ	[?] 
0x000851	ࡑ	[?] 
0x000852	ࡒ	[?] 
0x000853	ࡓ	[?] 
0x000854	ࡔ	[?] 
0x000855	ࡕ	[?] 
0x000856	ࡖ	[?] 
0x000857	ࡗ	[?] 
0x000858	ࡘ	[?] 
0x000859	࡙	[?] 
0x00085a	࡚	[?] 
0x00085b	࡛	[?] 
0x00085c	࡜	[?] 
0x00085d	࡝	[?] 
0x00085e	࡞	[?] 
0x00085f	࡟	[?] 
0x000860	ࡠ	[?] 
0x000861	ࡡ	[?] 
0x000862	ࡢ	[?] 
0x000863	ࡣ	[?] 
0x000864	ࡤ	[?] 
0x000865	ࡥ	[?] 
0x000866	ࡦ	[?] 
0x000867	ࡧ	[?] 
0x000868	ࡨ	[?] 
0x000869	ࡩ	[?] 
0x00086a	ࡪ	[?] 
0x00086b	࡫	[?] 
0x00086c	࡬	[?] 
0x00086d	࡭	[?] 
0x00086e	࡮	[?] 
0x00086f	࡯	[?] 
0x000870	ࡰ	[?] 
0x000871	ࡱ	[?] 
0x000872	ࡲ	[?] 
0x000873	ࡳ	[?] 
0x000874	ࡴ	[?] 
0x000875	ࡵ	[?] 
0x000876	ࡶ	[?] 
0x000877	ࡷ	[?] 
0x000878	ࡸ	[?] 
0x000879	ࡹ	[?] 
0x00087a	ࡺ	[?] 
0x00087b	ࡻ	[?] 
0x00087c	ࡼ	[?] 
0x00087d	ࡽ	[?] 
0x00087e	ࡾ	[?] 
0x00087f	ࡿ	[?] 
0x000880	ࢀ	[?] 
0x000881	ࢁ	[?] 
0x000882	ࢂ	[?] 
0x000883	ࢃ	[?] 
0x000884	ࢄ	[?] 
0x000885	ࢅ	[?] 
0x000886	ࢆ	[?] 
0x000887	ࢇ	[?] 
0x000888	࢈	[?] 
0x000889	ࢉ	[?] 
0x00088a	ࢊ	[?] 
0x00088b	ࢋ	[?] 
0x00088c	ࢌ	[?] 
0x00088d	ࢍ	[?] 
0x00088e	ࢎ	[?] 
0x00088f	࢏	[?] 
0x000890	࢐	[?] 
0x000891	࢑	[?] 
0x000892	࢒	[?] 
0x000893	࢓	[?] 
0x000894	࢔	[?] 
0x000895	࢕	[?] 
0x000896	࢖	[?] 
0x000897	ࢗ	[?] 
0x000898	࢘	[?] 
0x000899	࢙	[?] 
0x00089a	࢚	[?] 
0x00089b	࢛	[?] 
0x00089c	࢜	[?] 
0x00089d	࢝	[?] 
0x00089e	࢞	[?] 
0x00089f	࢟	[?] 
0x0008a0	ࢠ	[?] 
0x0008a1	ࢡ	[?] 
0x0008a2	ࢢ	[?] 
0x0008a3	ࢣ	[?] 
0x0008a4	ࢤ	[?] 
0x0008a5	ࢥ	[?] 
0x0008a6	ࢦ	[?] 
0x0008a7	ࢧ	[?] 
0x0008a8	ࢨ	[?] 
0x0008a9	ࢩ	[?] 
0x0008aa	ࢪ	[?] 
0x0008ab	ࢫ	[?] 
0x0008ac	ࢬ	[?] 
0x0008ad	ࢭ	[?] 
0x0008ae	ࢮ	[?] 
0x0008af	ࢯ	[?] 
0x0008b0	ࢰ	[?] 
0x0008b1	ࢱ	[?] 
0x0008b2	ࢲ	[?] 
0x0008b3	ࢳ	[?] 
0x0008b4	ࢴ	[?] 
0x0008b5	ࢵ	[?] 
0x0008b6	ࢶ	[?] 
0x0008b7	ࢷ	[?] 
0x0008b8	ࢸ	[?] 
0x0008b9	ࢹ	[?] 
0x0008ba	ࢺ	[?] 
0x0008bb	ࢻ	[?] 
0x0008bc	ࢼ	[?] 
0x0008bd	ࢽ	[?] 
0x0008be	ࢾ	[?] 
0x0008bf	ࢿ	[?] 
0x0008c0	ࣀ	[?] 
0x0008c1	ࣁ	[?] 
0x0008c2	ࣂ	[?] 
0x0008c3	ࣃ	[?] 
0x0008c4	ࣄ	[?] 
0x0008c5	ࣅ	[?] 
0x0008c6	ࣆ	[?] 
0x0008c7	ࣇ	[?] 
0x0008c8	ࣈ	[?] 
0x0008c9	ࣉ	[?] 
0x0008ca	࣊	[?] 
0x0008cb	࣋	[?] 
0x0008cc	࣌	[?] 
0x0008cd	࣍	[?] 
0x0008ce	࣎	[?] 
0x0008cf	࣏	[?] 
0x0008d0	࣐	[?] 
0x0008d1	࣑	[?] 
0x0008d2	࣒	[?] 
0x0008d3	࣓	[?] 
0x0008d4	ࣔ	[?] 
0x0008d5	ࣕ	[?] 
0x0008d6	ࣖ	[?] 
0x0008d7	ࣗ	[?] 
0x0008d8	ࣘ	[?] 
0x0008d9	ࣙ	[?] 
0x0008da	ࣚ	[?] 
0x0008db	ࣛ	[?] 
0x0008dc	ࣜ	[?] 
0x0008dd	ࣝ	[?] 
0x0008de	ࣞ	[?] 
0x0008df	ࣟ	[?] 
0x0008e0	࣠	[?] 
0x0008e1	࣡	[?] 
0x0008e2	࣢	[?] 
0x0008e3	ࣣ	[?] 
0x0008e4	ࣤ	[?] 
0x0008e5	ࣥ	[?] 
0x0008e6	ࣦ	[?] 
0x0008e7	ࣧ	[?] 
0x0008e8	ࣨ	[?] 
0x0008e9	ࣩ	[?] 
0x0008ea	࣪	[?] 
0x0008eb	࣫	[?] 
0x0008ec	࣬	[?] 
0x0008ed	࣭	[?] 
0x0008ee	࣮	[?] 
0x0008ef	࣯	[?] 
0x0008f0	ࣰ	[?] 
0x0008f1	ࣱ	[?] 
0x0008f2	ࣲ	[?] 
0x0008f3	ࣳ	[?] 
0x0008f4	ࣴ	[?] 
0x0008f5	ࣵ	[?] 
0x0008f6	ࣶ	[?] 
0x0008f7	ࣷ	[?] 
0x0008f8	ࣸ	[?] 
0x0008f9	ࣹ	[?] 
0x0008fa	ࣺ	[?] 
0x0008fb	ࣻ	[?] 
0x0008fc	ࣼ	[?] 
0x0008fd	ࣽ	[?] 
0x0008fe	ࣾ	[?] 
0x0008ff	ࣿ	[?] 
0x000900	ऀ	
0x000901	ँ	N
0x000902	ं	N
0x000903	ः	H
0x000904	ऄ	
0x000905	अ	a
0x000906	आ	aa
0x000907	इ	i
0x000908	ई	ii
0x000909	उ	u
0x00090a	ऊ	uu
0x00090b	ऋ	R
0x00090c	ऌ	L
0x00090d	ऍ	eN
0x00090e	ऎ	e
0x00090f	ए	e
0x000910	ऐ	ai
0x000911	ऑ	oN
0x000912	ऒ	o
0x000913	ओ	o
0x000914	औ	au
0x000915	क	k
0x000916	ख	kh
0x000917	ग	g
0x000918	घ	gh
0x000919	ङ	ng
0x00091a	च	c
0x00091b	छ	ch
0x00091c	ज	j
0x00091d	झ	jh
0x00091e	ञ	ny
0x00091f	ट	tt
0x000920	ठ	tth
0x000921	ड	dd
0x000922	ढ	ddh
0x000923	ण	nn
0x000924	त	t
0x000925	थ	th
0x000926	द	d
0x000927	ध	dh
0x000928	न	n
0x000929	ऩ	nnn
0x00092a	प	p
0x00092b	फ	ph
0x00092c	ब	b
0x00092d	भ	bh
0x00092e	म	m
0x00092f	य	y
0x000930	र	r
0x000931	ऱ	rr
0x000932	ल	l
0x000933	ळ	l
0x000934	ऴ	lll
0x000935	व	v
0x000936	श	sh
0x000937	ष	ss
0x000938	स	s
0x000939	ह	h
0x00093a	ऺ	
0x00093b	ऻ	
0x00093c	़	'
0x00093d	ऽ	'
0x00093e	ा	aa
0x00093f	ि	i
0x000940	ी	ii
0x000941	ु	u
0x000942	ू	uu
0x000943	ृ	R
0x000944	ॄ	RR
0x000945	ॅ	eN
0x000946	ॆ	e
0x000947	े	e
0x000948	ै	ai
0x000949	ॉ	oN
0x00094a	ॊ	o
0x00094b	ो	o
0x00094c	ौ	au
0x00094d	्	
0x00094e	ॎ	
0x00094f	ॏ	
0x000950	ॐ	AUM
0x000951	॑	'
0x000952	॒	'
0x000953	॓	`
0x000954	॔	'
0x000955	ॕ	
0x000956	ॖ	
0x000957	ॗ	
0x000958	क़	q
0x000959	ख़	khh
0x00095a	ग़	ghh
0x00095b	ज़	z
0x00095c	ड़	dddh
0x00095d	ढ़	rh
0x00095e	फ़	f
0x00095f	य़	yy
0x000960	ॠ	RR
0x000961	ॡ	LL
0x000962	ॢ	L
0x000963	ॣ	LL
0x000964	।	 / 
0x000965	॥	 // 
0x000966	०	0
0x000967	१	1
0x000968	२	2
0x000969	३	3
0x00096a	४	4
0x00096b	५	5
0x00096c	६	6
0x00096d	७	7
0x00096e	८	8
0x00096f	९	9
0x000970	॰	.
0x000971	ॱ	
0x000972	ॲ	
0x000973	ॳ	
0x000974	ॴ	
0x000975	ॵ	
0x000976	ॶ	
0x000977	ॷ	
0x000978	ॸ	
0x000979	ॹ	
0x00097a	ॺ	
0x00097b	ॻ	
0x00097c	ॼ	
0x00097d	ॽ	
0x00097e	ॾ	
0x00097f	ॿ	
0x000980	ঀ	
0x000981	ঁ	N
0x000982	ং	N
0x000983	ঃ	H
0x000984	঄	
0x000985	অ	a
0x000986	আ	aa
0x000987	ই	i
0x000988	ঈ	ii
0x000989	উ	u
0x00098a	ঊ	uu
0x00098b	ঋ	R
0x00098c	ঌ	RR
0x00098d	঍	
0x00098e	঎	
0x00098f	এ	e
0x000990	ঐ	ai
0x000991	঑	
0x000992	঒	
0x000993	ও	o
0x000994	ঔ	au
0x000995	ক	k
0x000996	খ	kh
0x000997	গ	g
0x000998	ঘ	gh
0x000999	ঙ	ng
0x00099a	চ	c
0x00099b	ছ	ch
0x00099c	জ	j
0x00099d	ঝ	jh
0x00099e	ঞ	ny
0x00099f	ট	tt
0x0009a0	ঠ	tth
0x0009a1	ড	dd
0x0009a2	ঢ	ddh
0x0009a3	ণ	nn
0x0009a4	ত	t
0x0009a5	থ	th
0x0009a6	দ	d
0x0009a7	ধ	dh
0x0009a8	ন	n
0x0009a9	঩	
0x0009aa	প	p
0x0009ab	ফ	ph
0x0009ac	ব	b
0x0009ad	ভ	bh
0x0009ae	ম	m
0x0009af	য	y
0x0009b0	র	r
0x0009b1	঱	
0x0009b2	ল	l
0x0009b3	঳	
0x0009b4	঴	
0x0009b5	঵	
0x0009b6	শ	sh
0x0009b7	ষ	ss
0x0009b8	স	s
0x0009b9	হ	h
0x0009ba	঺	
0x0009bb	঻	
0x0009bc	়	'
0x0009bd	ঽ	
0x0009be	া	aa
0x0009bf	ি	i
0x0009c0	ী	ii
0x0009c1	ু	u
0x0009c2	ূ	uu
0x0009c3	ৃ	R
0x0009c4	ৄ	RR
0x0009c5	৅	
0x0009c6	৆	
0x0009c7	ে	e
0x0009c8	ৈ	ai
0x0009c9	৉	
0x0009ca	৊	
0x0009cb	ো	o
0x0009cc	ৌ	au
0x0009cd	্	
0x0009ce	ৎ	
0x0009cf	৏	
0x0009d0	৐	
0x0009d1	৑	
0x0009d2	৒	
0x0009d3	৓	
0x0009d4	৔	
0x0009d5	৕	
0x0009d6	৖	
0x0009d7	ৗ	+
0x0009d8	৘	
0x0009d9	৙	
0x0009da	৚	
0x0009db	৛	
0x0009dc	ড়	rr
0x0009dd	ঢ়	rh
0x0009de	৞	
0x0009df	য়	yy
0x0009e0	ৠ	RR
0x0009e1	ৡ	LL
0x0009e2	ৢ	L
0x0009e3	ৣ	LL
0x0009e4	৤	
0x0009e5	৥	
0x0009e6	০	0
0x0009e7	১	1
0x0009e8	২	2
0x0009e9	৩	3
0x0009ea	৪	4
0x0009eb	৫	5
0x0009ec	৬	6
0x0009ed	৭	7
0x0009ee	৮	8
0x0009ef	৯	9
0x0009f0	ৰ	r'
0x0009f1	ৱ	r`
0x0009f2	৲	Rs
0x0009f3	৳	Rs
0x0009f4	৴	1/
0x0009f5	৵	2/
0x0009f6	৶	3/
0x0009f7	৷	4/
0x0009f8	৸	 1 - 1/
0x0009f9	৹	/16
0x0009fa	৺	
0x0009fb	৻	
0x0009fc	ৼ	
0x0009fd	৽	
0x0009fe	৾	
0x0009ff	৿	
0x000a00	਀	
0x000a01	ਁ	
0x000a02	ਂ	N
0x000a03	ਃ	
0x000a04	਄	
0x000a05	ਅ	a
0x000a06	ਆ	aa
0x000a07	ਇ	i
0x000a08	ਈ	ii
0x000a09	ਉ	u
0x000a0a	ਊ	uu
0x000a0b	਋	
0x000a0c	਌	
0x000a0d	਍	
0x000a0e	਎	
0x000a0f	ਏ	ee
0x000a10	ਐ	ai
0x000a11	਑	
0x000a12	਒	
0x000a13	ਓ	oo
0x000a14	ਔ	au
0x000a15	ਕ	k
0x000a16	ਖ	kh
0x000a17	ਗ	g
0x000a18	ਘ	gh
0x000a19	ਙ	ng
0x000a1a	ਚ	c
0x000a1b	ਛ	ch
0x000a1c	ਜ	j
0x000a1d	ਝ	jh
0x000a1e	ਞ	ny
0x000a1f	ਟ	tt
0x000a20	ਠ	tth
0x000a21	ਡ	dd
0x000a22	ਢ	ddh
0x000a23	ਣ	nn
0x000a24	ਤ	t
0x000a25	ਥ	th
0x000a26	ਦ	d
0x000a27	ਧ	dh
0x000a28	ਨ	n
0x000a29	਩	
0x000a2a	ਪ	p
0x000a2b	ਫ	ph
0x000a2c	ਬ	b
0x000a2d	ਭ	bb
0x000a2e	ਮ	m
0x000a2f	ਯ	y
0x000a30	ਰ	r
0x000a31	਱	
0x000a32	ਲ	l
0x000a33	ਲ਼	ll
0x000a34	਴	
0x000a35	ਵ	v
0x000a36	ਸ਼	sh
0x000a37	਷	
0x000a38	ਸ	s
0x000a39	ਹ	h
0x000a3a	਺	
0x000a3b	਻	
0x000a3c	਼	'
0x000a3d	਽	
0x000a3e	ਾ	aa
0x000a3f	ਿ	i
0x000a40	ੀ	ii
0x000a41	ੁ	u
0x000a42	ੂ	uu
0x000a43	੃	
0x000a44	੄	
0x000a45	੅	
0x000a46	੆	
0x000a47	ੇ	ee
0x000a48	ੈ	ai
0x000a49	੉	
0x000a4a	੊	
0x000a4b	ੋ	oo
0x000a4c	ੌ	au
0x000a4d	੍	
0x000a4e	੎	
0x000a4f	੏	
0x000a50	੐	
0x000a51	ੑ	
0x000a52	੒	
0x000a53	੓	
0x000a54	੔	
0x000a55	੕	
0x000a56	੖	
0x000a57	੗	
0x000a58	੘	
0x000a59	ਖ਼	khh
0x000a5a	ਗ਼	ghh
0x000a5b	ਜ਼	z
0x000a5c	ੜ	rr
0x000a5d	੝	
0x000a5e	ਫ਼	f
0x000a5f	੟	
0x000a60	੠	
0x000a61	੡	
0x000a62	੢	
0x000a63	੣	
0x000a64	੤	
0x000a65	੥	
0x000a66	੦	0
0x000a67	੧	1
0x000a68	੨	2
0x000a69	੩	3
0x000a6a	੪	4
0x000a6b	੫	5
0x000a6c	੬	6
0x000a6d	੭	7
0x000a6e	੮	8
0x000a6f	੯	9
0x000a70	ੰ	N
0x000a71	ੱ	H
0x000a72	ੲ	
0x000a73	ੳ	
0x000a74	ੴ	G.E.O.
0x000a75	ੵ	
0x000a76	੶	
0x000a77	੷	
0x000a78	੸	
0x000a79	੹	
0x000a7a	੺	
0x000a7b	੻	
0x000a7c	੼	
0x000a7d	੽	
0x000a7e	੾	
0x000a7f	੿	
0x000a80	઀	
0x000a81	ઁ	N
0x000a82	ં	N
0x000a83	ઃ	H
0x000a84	઄	
0x000a85	અ	a
0x000a86	આ	aa
0x000a87	ઇ	i
0x000a88	ઈ	ii
0x000a89	ઉ	u
0x000a8a	ઊ	uu
0x000a8b	ઋ	R
0x000a8c	ઌ	
0x000a8d	ઍ	eN
0x000a8e	઎	
0x000a8f	એ	e
0x000a90	ઐ	ai
0x000a91	ઑ	oN
0x000a92	઒	
0x000a93	ઓ	o
0x000a94	ઔ	au
0x000a95	ક	k
0x000a96	ખ	kh
0x000a97	ગ	g
0x000a98	ઘ	gh
0x000a99	ઙ	ng
0x000a9a	ચ	c
0x000a9b	છ	ch
0x000a9c	જ	j
0x000a9d	ઝ	jh
0x000a9e	ઞ	ny
0x000a9f	ટ	tt
0x000aa0	ઠ	tth
0x000aa1	ડ	dd
0x000aa2	ઢ	ddh
0x000aa3	ણ	nn
0x000aa4	ત	t
0x000aa5	થ	th
0x000aa6	દ	d
0x000aa7	ધ	dh
0x000aa8	ન	n
0x000aa9	઩	
0x000aaa	પ	p
0x000aab	ફ	ph
0x000aac	બ	b
0x000aad	ભ	bh
0x000aae	મ	m
0x000aaf	ય	ya
0x000ab0	ર	r
0x000ab1	઱	
0x000ab2	લ	l
0x000ab3	ળ	ll
0x000ab4	઴	
0x000ab5	વ	v
0x000ab6	શ	sh
0x000ab7	ષ	ss
0x000ab8	સ	s
0x000ab9	હ	h
0x000aba	઺	
0x000abb	઻	
0x000abc	઼	'
0x000abd	ઽ	'
0x000abe	ા	aa
0x000abf	િ	i
0x000ac0	ી	ii
0x000ac1	ુ	u
0x000ac2	ૂ	uu
0x000ac3	ૃ	R
0x000ac4	ૄ	RR
0x000ac5	ૅ	eN
0x000ac6	૆	
0x000ac7	ે	e
0x000ac8	ૈ	ai
0x000ac9	ૉ	oN
0x000aca	૊	
0x000acb	ો	o
0x000acc	ૌ	au
0x000acd	્	
0x000ace	૎	
0x000acf	૏	
0x000ad0	ૐ	AUM
0x000ad1	૑	
0x000ad2	૒	
0x000ad3	૓	
0x000ad4	૔	
0x000ad5	૕	
0x000ad6	૖	
0x000ad7	૗	
0x000ad8	૘	
0x000ad9	૙	
0x000ada	૚	
0x000adb	૛	
0x000adc	૜	
0x000add	૝	
0x000ade	૞	
0x000adf	૟	
0x000ae0	ૠ	RR
0x000ae1	ૡ	
0x000ae2	ૢ	
0x000ae3	ૣ	
0x000ae4	૤	
0x000ae5	૥	
0x000ae6	૦	0
0x000ae7	૧	1
0x000ae8	૨	2
0x000ae9	૩	3
0x000aea	૪	4
0x000aeb	૫	5
0x000aec	૬	6
0x000aed	૭	7
0x000aee	૮	8
0x000aef	૯	9
0x000af0	૰	.
0x000af1	૱	R
0x000af2	૲	
0x000af3	૳	
0x000af4	૴	
0x000af5	૵	
0x000af6	૶	
0x000af7	૷	
0x000af8	૸	
0x000af9	ૹ	zh
0x000afa	ૺ	
0x000afb	ૻ	
0x000afc	ૼ	
0x000afd	૽	
0x000afe	૾	
0x000aff	૿	
0x000b00	଀	
0x000b01	ଁ	N
0x000b02	ଂ	N
0x000b03	ଃ	H
0x000b04	଄	
0x000b05	ଅ	a
0x000b06	ଆ	aa
0x000b07	ଇ	i
0x000b08	ଈ	ii
0x000b09	ଉ	u
0x000b0a	ଊ	uu
0x000b0b	ଋ	R
0x000b0c	ଌ	L
0x000b0d	଍	
0x000b0e	଎	
0x000b0f	ଏ	e
0x000b10	ଐ	ai
0x000b11	଑	
0x000b12	଒	
0x000b13	ଓ	o
0x000b14	ଔ	au
0x000b15	କ	k
0x000b16	ଖ	kh
0x000b17	ଗ	g
0x000b18	ଘ	gh
0x000b19	ଙ	ng
0x000b1a	ଚ	c
0x000b1b	ଛ	ch
0x000b1c	ଜ	j
0x000b1d	ଝ	jh
0x000b1e	ଞ	ny
0x000b1f	ଟ	tt
0x000b20	ଠ	tth
0x000b21	ଡ	dd
0x000b22	ଢ	ddh
0x000b23	ଣ	nn
0x000b24	ତ	t
0x000b25	ଥ	th
0x000b26	ଦ	d
0x000b27	ଧ	dh
0x000b28	ନ	n
0x000b29	଩	
0x000b2a	ପ	p
0x000b2b	ଫ	ph
0x000b2c	ବ	b
0x000b2d	ଭ	bh
0x000b2e	ମ	m
0x000b2f	ଯ	y
0x000b30	ର	r
0x000b31	଱	
0x000b32	ଲ	l
0x000b33	ଳ	ll
0x000b34	଴	
0x000b35	ଵ	
0x000b36	ଶ	sh
0x000b37	ଷ	ss
0x000b38	ସ	s
0x000b39	ହ	h
0x000b3a	଺	
0x000b3b	଻	
0x000b3c	଼	'
0x000b3d	ଽ	'
0x000b3e	ା	aa
0x000b3f	ି	i
0x000b40	ୀ	ii
0x000b41	ୁ	u
0x000b42	ୂ	uu
0x000b43	ୃ	R
0x000b44	ୄ	
0x000b45	୅	
0x000b46	୆	
0x000b47	େ	e
0x000b48	ୈ	ai
0x000b49	୉	
0x000b4a	୊	
0x000b4b	ୋ	o
0x000b4c	ୌ	au
0x000b4d	୍	
0x000b4e	୎	
0x000b4f	୏	
0x000b50	୐	
0x000b51	୑	
0x000b52	୒	
0x000b53	୓	
0x000b54	୔	
0x000b55	୕	
0x000b56	ୖ	+
0x000b57	ୗ	+
0x000b58	୘	
0x000b59	୙	
0x000b5a	୚	
0x000b5b	୛	
0x000b5c	ଡ଼	rr
0x000b5d	ଢ଼	rh
0x000b5e	୞	
0x000b5f	ୟ	yy
0x000b60	ୠ	RR
0x000b61	ୡ	LL
0x000b62	ୢ	
0x000b63	ୣ	
0x000b64	୤	
0x000b65	୥	
0x000b66	୦	0
0x000b67	୧	1
0x000b68	୨	2
0x000b69	୩	3
0x000b6a	୪	4
0x000b6b	୫	5
0x000b6c	୬	6
0x000b6d	୭	7
0x000b6e	୮	8
0x000b6f	୯	9
0x000b70	୰	
0x000b71	ୱ	
0x000b72	୲	
0x000b73	୳	
0x000b74	୴	
0x000b75	୵	
0x000b76	୶	
0x000b77	୷	
0x000b78	୸	
0x000b79	୹	
0x000b7a	୺	
0x000b7b	୻	
0x000b7c	୼	
0x000b7d	୽	
0x000b7e	୾	
0x000b7f	୿	
0x000b80	஀	
0x000b81	஁	
0x000b82	ஂ	N
0x000b83	ஃ	H
0x000b84	஄	
0x000b85	அ	a
0x000b86	ஆ	aa
0x000b87	இ	i
0x000b88	ஈ	ii
0x000b89	உ	u
0x000b8a	ஊ	uu
0x000b8b	஋	
0x000b8c	஌	
0x000b8d	஍	
0x000b8e	எ	e
0x000b8f	ஏ	ee
0x000b90	ஐ	ai
0x000b91	஑	
0x000b92	ஒ	o
0x000b93	ஓ	oo
0x000b94	ஔ	au
0x000b95	க	k
0x000b96	஖	
0x000b97	஗	
0x000b98	஘	
0x000b99	ங	ng
0x000b9a	ச	c
0x000b9b	஛	
0x000b9c	ஜ	j
0x000b9d	஝	
0x000b9e	ஞ	ny
0x000b9f	ட	tt
0x000ba0	஠	
0x000ba1	஡	
0x000ba2	஢	
0x000ba3	ண	nn
0x000ba4	த	t
0x000ba5	஥	
0x000ba6	஦	
0x000ba7	஧	
0x000ba8	ந	n
0x000ba9	ன	nnn
0x000baa	ப	p
0x000bab	஫	
0x000bac	஬	
0x000bad	஭	
0x000bae	ம	m
0x000baf	ய	y
0x000bb0	ர	r
0x000bb1	ற	rr
0x000bb2	ல	l
0x000bb3	ள	ll
0x000bb4	ழ	lll
0x000bb5	வ	v
0x000bb6	ஶ	
0x000bb7	ஷ	ss
0x000bb8	ஸ	s
0x000bb9	ஹ	h
0x000bba	஺	
0x000bbb	஻	
0x000bbc	஼	
0x000bbd	஽	
0x000bbe	ா	aa
0x000bbf	ி	i
0x000bc0	ீ	ii
0x000bc1	ு	u
0x000bc2	ூ	uu
0x000bc3	௃	
0x000bc4	௄	
0x000bc5	௅	
0x000bc6	ெ	e
0x000bc7	ே	ee
0x000bc8	ை	ai
0x000bc9	௉	
0x000bca	ொ	o
0x000bcb	ோ	oo
0x000bcc	ௌ	au
0x000bcd	்	
0x000bce	௎	
0x000bcf	௏	
0x000bd0	ௐ	
0x000bd1	௑	
0x000bd2	௒	
0x000bd3	௓	
0x000bd4	௔	
0x000bd5	௕	
0x000bd6	௖	
0x000bd7	ௗ	+
0x000bd8	௘	
0x000bd9	௙	
0x000bda	௚	
0x000bdb	௛	
0x000bdc	௜	
0x000bdd	௝	
0x000bde	௞	
0x000bdf	௟	
0x000be0	௠	
0x000be1	௡	
0x000be2	௢	
0x000be3	௣	
0x000be4	௤	
0x000be5	௥	
0x000be6	௦	0
0x000be7	௧	1
0x000be8	௨	2
0x000be9	௩	3
0x000bea	௪	4
0x000beb	௫	5
0x000bec	௬	6
0x000bed	௭	7
0x000bee	௮	8
0x000bef	௯	9
0x000bf0	௰	+10+
0x000bf1	௱	+100+
0x000bf2	௲	+1000+
0x000bf3	௳	
0x000bf4	௴	
0x000bf5	௵	
0x000bf6	௶	
0x000bf7	௷	
0x000bf8	௸	
0x000bf9	௹	
0x000bfa	௺	
0x000bfb	௻	
0x000bfc	௼	
0x000bfd	௽	
0x000bfe	௾	
0x000bff	௿	
0x000c00	ఀ	
0x000c01	ఁ	N
0x000c02	ం	N
0x000c03	ః	H
0x000c04	ఄ	
0x000c05	అ	a
0x000c06	ఆ	aa
0x000c07	ఇ	i
0x000c08	ఈ	ii
0x000c09	ఉ	u
0x000c0a	ఊ	uu
0x000c0b	ఋ	R
0x000c0c	ఌ	L
0x000c0d	఍	
0x000c0e	ఎ	e
0x000c0f	ఏ	ee
0x000c10	ఐ	ai
0x000c11	఑	
0x000c12	ఒ	o
0x000c13	ఓ	oo
0x000c14	ఔ	au
0x000c15	క	k
0x000c16	ఖ	kh
0x000c17	గ	g
0x000c18	ఘ	gh
